#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10678E+04    0.34282E-01    0.00000E+00    0.27104E+01    0.49277E-07    0.32326E-02   -0.12847E-04
     3    0.10029E+04    0.46186E-01    0.00000E+00    0.31328E+01    0.60013E-07    0.32173E-02   -0.14138E-04
     4    0.94274E+03    0.42475E-01    0.00000E+00    0.30100E+01    0.69182E-07    0.31297E-02   -0.12452E-04
     5    0.89773E+03    0.30431E-01    0.00000E+00    0.26210E+01    0.77138E-07    0.30167E-02   -0.91211E-05
     6    0.86645E+03    0.18224E-01    0.00000E+00    0.21550E+01    0.84082E-07    0.28979E-02   -0.52510E-05
     7    0.84589E+03    0.10011E-01    0.00000E+00    0.17210E+01    0.90195E-07    0.27829E-02   -0.17094E-05
     8    0.83287E+03    0.59520E-02    0.00000E+00    0.13706E+01    0.95606E-07    0.26715E-02    0.91611E-06
     9    0.82576E+03    0.43850E-02    0.00000E+00    0.11180E+01    0.10042E-06    0.25622E-02    0.23682E-05
    10    0.82300E+03    0.37355E-02    0.00000E+00    0.96093E+00    0.10471E-06    0.24567E-02    0.27383E-05
    11    0.82313E+03    0.32487E-02    0.00000E+00    0.88595E+00    0.10857E-06    0.23598E-02    0.23459E-05
    12    0.82672E+03    0.29300E-02    0.00000E+00    0.87533E+00    0.11202E-06    0.22724E-02    0.15324E-05
    13    0.83207E+03    0.25535E-02    0.00000E+00    0.90480E+00    0.11510E-06    0.21926E-02    0.54730E-06
    14    0.83823E+03    0.24761E-02    0.00000E+00    0.95072E+00    0.11786E-06    0.21180E-02   -0.38720E-06
    15    0.84555E+03    0.26317E-02    0.00000E+00    0.10057E+01    0.12034E-06    0.20460E-02   -0.10467E-05
    16    0.85453E+03    0.28563E-02    0.00000E+00    0.10670E+01    0.12257E-06    0.19750E-02   -0.12714E-05
    17    0.86514E+03    0.32385E-02    0.00000E+00    0.11304E+01    0.12456E-06    0.19068E-02   -0.11499E-05
    18    0.87650E+03    0.37315E-02    0.00000E+00    0.11937E+01    0.12636E-06    0.18432E-02   -0.83764E-06
    19    0.88941E+03    0.43418E-02    0.00000E+00    0.12569E+01    0.12795E-06    0.17837E-02   -0.52010E-06
    20    0.90217E+03    0.51309E-02    0.00000E+00    0.13182E+01    0.12937E-06    0.17274E-02   -0.33939E-06
    21    0.91517E+03    0.60612E-02    0.00000E+00    0.13819E+01    0.13062E-06    0.16738E-02   -0.24258E-06
    22    0.92870E+03    0.71547E-02    0.00000E+00    0.14506E+01    0.13173E-06    0.16227E-02   -0.15551E-06
    23    0.94258E+03    0.84114E-02    0.00000E+00    0.15212E+01    0.13271E-06    0.15740E-02   -0.10844E-06
    24    0.95688E+03    0.97994E-02    0.00000E+00    0.15894E+01    0.13356E-06    0.15280E-02   -0.14849E-06
    25    0.97154E+03    0.11351E-01    0.00000E+00    0.16537E+01    0.13430E-06    0.14844E-02   -0.28783E-06
    26    0.98639E+03    0.13069E-01    0.00000E+00    0.17141E+01    0.13493E-06    0.14430E-02   -0.50631E-06
    27    0.10017E+04    0.14939E-01    0.00000E+00    0.17682E+01    0.13547E-06    0.14033E-02   -0.68939E-06
    28    0.10172E+04    0.16971E-01    0.00000E+00    0.18146E+01    0.13592E-06    0.13650E-02   -0.73098E-06
